sample,word,freq,per1000,total_words,author
3,further,0,0,308,satoshi
3,had,0,0,308,satoshi
3,has,2,6.4935064935064934,308,satoshi
3,have,4,12.987012987012987,308,satoshi
3,here,0,0,308,satoshi
3,him,0,0,308,satoshi
3,himself,0,0,308,satoshi
3,his,2,6.4935064935064934,308,satoshi
3,how,0,0,308,satoshi
3,into,0,0,308,satoshi
3,itself,0,0,308,satoshi
3,more,0,0,308,satoshi
3,most,2,6.4935064935064934,308,satoshi
3,myself,0,0,308,satoshi
3,not,4,12.987012987012987,308,satoshi
3,off,2,6.4935064935064934,308,satoshi
3,other,0,0,308,satoshi
3,ought,0,0,308,satoshi
3,our,0,0,308,satoshi
3,out,1,3.2467532467532467,308,satoshi
3,over,0,0,308,satoshi
3,own,0,0,308,satoshi
3,same,0,0,308,satoshi
3,should,0,0,308,satoshi
3,some,0,0,308,satoshi
3,such,1,3.2467532467532467,308,satoshi
3,than,0,0,308,satoshi
3,that,8,25.974025974025974,308,satoshi
3,the,24,77.92207792207792,308,satoshi
3,their,0,0,308,satoshi
3,them,0,0,308,satoshi
3,then,1,3.2467532467532467,308,satoshi
3,there,1,3.2467532467532467,308,satoshi
3,these,0,0,308,satoshi
3,they,4,12.987012987012987,308,satoshi
3,this,1,3.2467532467532467,308,satoshi
3,those,1,3.2467532467532467,308,satoshi
3,through,0,0,308,satoshi
3,too,0,0,308,satoshi
3,under,1,3.2467532467532467,308,satoshi
3,until,0,0,308,satoshi
3,was,0,0,308,satoshi
3,were,0,0,308,satoshi
3,what,0,0,308,satoshi
3,when,0,0,308,satoshi
3,where,0,0,308,satoshi
3,which,1,3.2467532467532467,308,satoshi
3,while,0,0,308,satoshi
3,who,0,0,308,satoshi
3,with,2,6.4935064935064934,308,satoshi
3,would,3,9.74025974025974,308,satoshi
3,you,1,3.2467532467532467,308,satoshi
3,your,1,3.2467532467532467,308,satoshi
3,yourself,0,0,308,satoshi
4,about,0,0,320,satoshi
4,after,0,0,320,satoshi
4,again,0,0,320,satoshi
4,against,0,0,320,satoshi
4,all,0,0,320,satoshi
4,and,8,25,320,satoshi
4,are,1,3.125,320,satoshi
4,been,0,0,320,satoshi
4,below,0,0,320,satoshi
4,between,0,0,320,satoshi
4,both,1,3.125,320,satoshi
4,but,1,3.125,320,satoshi
4,cannot,0,0,320,satoshi
4,could,0,0,320,satoshi
4,did,0,0,320,satoshi
4,down,0,0,320,satoshi
4,each,0,0,320,satoshi
4,few,1,3.125,320,satoshi
4,for,4,12.5,320,satoshi
4,from,0,0,320,satoshi
4,further,0,0,320,satoshi
4,had,0,0,320,satoshi
4,has,1,3.125,320,satoshi
4,have,1,3.125,320,satoshi
4,here,0,0,320,satoshi
4,him,0,0,320,satoshi
4,himself,0,0,320,satoshi
4,his,0,0,320,satoshi
4,how,0,0,320,satoshi
4,into,1,3.125,320,satoshi
4,itself,0,0,320,satoshi
4,more,0,0,320,satoshi
4,most,0,0,320,satoshi
4,myself,0,0,320,satoshi
4,not,1,3.125,320,satoshi
4,off,0,0,320,satoshi
4,other,1,3.125,320,satoshi
4,ought,0,0,320,satoshi
4,our,0,0,320,satoshi
4,out,1,3.125,320,satoshi
4,over,0,0,320,satoshi
4,own,0,0,320,satoshi
4,same,1,3.125,320,satoshi
4,should,0,0,320,satoshi
4,some,2,6.25,320,satoshi
4,such,0,0,320,satoshi
4,than,0,0,320,satoshi
4,that,5,15.625,320,satoshi
4,the,21,65.625,320,satoshi
4,their,3,9.375,320,satoshi
4,them,0,0,320,satoshi
4,then,0,0,320,satoshi
4,there,2,6.25,320,satoshi
4,these,0,0,320,satoshi
4,they,4,12.5,320,satoshi
4,this,1,3.125,320,satoshi
4,those,0,0,320,satoshi
4,through,0,0,320,satoshi
4,too,0,0,320,satoshi
4,under,0,0,320,satoshi
4,until,0,0,320,satoshi
4,was,0,0,320,satoshi
4,were,0,0,320,satoshi
4,what,0,0,320,satoshi
4,when,3,9.375,320,satoshi
4,where,0,0,320,satoshi
4,which,1,3.125,320,satoshi
4,while,1,3.125,320,satoshi
4,who,0,0,320,satoshi
4,with,4,12.5,320,satoshi
4,would,0,0,320,satoshi
4,you,5,15.625,320,satoshi
4,your,1,3.125,320,satoshi
4,yourself,0,0,320,satoshi
5,about,0,0,192,satoshi
5,after,0,0,192,satoshi
5,again,0,0,192,satoshi
5,against,0,0,192,satoshi
5,all,0,0,192,satoshi
5,and,3,15.625,192,satoshi
5,are,1,5.208333333333333,192,satoshi
5,been,0,0,192,satoshi
5,below,0,0,192,satoshi
5,between,0,0,192,satoshi
5,both,0,0,192,satoshi
5,but,2,10.416666666666666,192,satoshi
5,cannot,0,0,192,satoshi
5,could,5,26.041666666666664,192,satoshi
5,did,0,0,192,satoshi
5,down,1,5.208333333333333,192,satoshi
5,each,0,0,192,satoshi
5,few,1,5.208333333333333,192,satoshi
5,for,7,36.45833333333333,192,satoshi
5,from,1,5.208333333333333,192,satoshi
5,further,0,0,192,satoshi
5,had,0,0,192,satoshi
5,has,0,0,192,satoshi
5,have,1,5.208333333333333,192,satoshi
5,here,0,0,192,satoshi
5,him,0,0,192,satoshi
5,himself,0,0,192,satoshi
5,his,0,0,192,satoshi
5,how,0,0,192,satoshi
5,into,0,0,192,satoshi
5,itself,0,0,192,satoshi
5,more,1,5.208333333333333,192,satoshi
5,most,0,0,192,satoshi
5,myself,0,0,192,satoshi
5,not,2,10.416666666666666,192,satoshi
5,off,0,0,192,satoshi
5,other,0,0,192,satoshi
5,ought,0,0,192,satoshi
5,our,0,0,192,satoshi
5,out,1,5.208333333333333,192,satoshi
5,over,0,0,192,satoshi
5,own,0,0,192,satoshi
5,same,1,5.208333333333333,192,satoshi
5,should,0,0,192,satoshi
5,some,3,15.625,192,satoshi
5,such,0,0,192,satoshi
5,than,1,5.208333333333333,192,satoshi
5,that,5,26.041666666666664,192,satoshi
5,the,9,46.875,192,satoshi
5,their,2,10.416666666666666,192,satoshi
5,them,1,5.208333333333333,192,satoshi
5,then,0,0,192,satoshi
5,there,1,5.208333333333333,192,satoshi
5,these,0,0,192,satoshi
5,they,2,10.416666666666666,192,satoshi
5,this,1,5.208333333333333,192,satoshi
5,those,0,0,192,satoshi
5,through,0,0,192,satoshi
5,too,0,0,192,satoshi
5,under,0,0,192,satoshi
5,until,0,0,192,satoshi
5,was,0,0,192,satoshi
5,were,0,0,192,satoshi
5,what,0,0,192,satoshi
5,when,2,10.416666666666666,192,satoshi
5,where,0,0,192,satoshi
5,which,0,0,192,satoshi
5,while,0,0,192,satoshi
5,who,0,0,192,satoshi
5,with,0,0,192,satoshi
5,would,2,10.416666666666666,192,satoshi
5,you,3,15.625,192,satoshi
5,your,0,0,192,satoshi
5,yourself,0,0,192,satoshi
6,about,0,0,160,satoshi
6,after,0,0,160,satoshi
6,again,0,0,160,satoshi
6,against,0,0,160,satoshi
6,all,0,0,160,satoshi
6,and,1,6.25,160,satoshi
6,are,0,0,160,satoshi
6,been,0,0,160,satoshi
6,below,0,0,160,satoshi
6,between,0,0,160,satoshi
6,both,0,0,160,satoshi
6,but,0,0,160,satoshi
6,cannot,0,0,160,satoshi
6,could,3,18.75,160,satoshi
6,did,0,0,160,satoshi
6,down,0,0,160,satoshi
6,each,0,0,160,satoshi
6,few,0,0,160,satoshi
6,for,2,12.5,160,satoshi
6,from,2,12.5,160,satoshi
6,further,0,0,160,satoshi
6,had,0,0,160,satoshi
6,has,2,12.5,160,satoshi
6,have,3,18.75,160,satoshi
6,here,0,0,160,satoshi
6,him,0,0,160,satoshi
6,himself,0,0,160,satoshi
6,his,0,0,160,satoshi
6,how,1,6.25,160,satoshi
6,into,0,0,160,satoshi
6,itself,0,0,160,satoshi
6,more,1,6.25,160,satoshi
6,most,0,0,160,satoshi
6,myself,0,0,160,satoshi
6,not,0,0,160,satoshi
6,off,0,0,160,satoshi
6,other,0,0,160,satoshi
6,ought,0,0,160,satoshi
6,our,0,0,160,satoshi
6,out,0,0,160,satoshi
6,over,0,0,160,satoshi
6,own,0,0,160,satoshi
6,same,0,0,160,satoshi
6,should,0,0,160,satoshi
6,some,0,0,160,satoshi
6,such,0,0,160,satoshi
6,than,0,0,160,satoshi
6,that,4,25,160,satoshi
6,the,15,93.75,160,satoshi
6,their,1,6.25,160,satoshi
6,them,0,0,160,satoshi
6,then,0,0,160,satoshi
6,there,1,6.25,160,satoshi
6,these,0,0,160,satoshi
6,they,0,0,160,satoshi
6,this,0,0,160,satoshi
6,those,0,0,160,satoshi
6,through,1,6.25,160,satoshi
6,too,2,12.5,160,satoshi
6,under,0,0,160,satoshi
6,until,0,0,160,satoshi
6,was,0,0,160,satoshi
6,were,0,0,160,satoshi
6,what,0,0,160,satoshi
6,when,0,0,160,satoshi
6,where,0,0,160,satoshi
6,which,0,0,160,satoshi
6,while,1,6.25,160,satoshi
6,who,0,0,160,satoshi
6,with,2,12.5,160,satoshi
6,would,4,25,160,satoshi
6,you,0,0,160,satoshi
6,your,0,0,160,satoshi
